id,created_at,updated_at,nome_estabelecimento,nicho,endereco,bairro,cidade,localizacao,site,contato_nome,numero_contato,numero_decisor,nome_decisor,is_mesmo_contato_decisor,status,follow_up,agente_ia_ativo,humor,resumo_conversa,mensagem_enviada,bloqueado,motivo_bloqueio,data_primeiro_contato,data_ultima_interacao,etapa_funil,remote_jid,whatsapp_message_id
7dcfac80-35cb-4530-9efc-bb99e75d7623,"2026-01-23 19:01:25.754945+00","2026-01-25 12:19:04.205907+00","Supermercados Calvi Cariacica Sede",Supermercado,"Av. Lopes Loureiro, 239 - Cariacica Sede, Cariacica - ES, 29156-140, Brasil","Cariacica Sede",Cariacica,https://www.google.com/maps/search/?api=1&query=Supermercados%20Calvi%20Cariacica%20Sede&query_place_id=ChIJC0zqUQA7uAARDBFvAJBs1Ys,http://www.calvi.com.br/,,552730917810,,,,novo,f,t,neutro,"",,f,,,,0_base_fria,552730917810@s.whatsapp.net,
7dbde8b9-e912-48b0-ae53-f0888c3528ba,"2026-01-23 19:01:25.754945+00","2026-01-25 12:19:04.205907+00","JAP Centro Automotivo","Oficina mecânica","Av. Jerusalém, 166 - Vila Palestina, Cariacica - ES, 29145-620, Brasil","Vila Palestina",Cariacica,https://www.google.com/maps/search/?api=1&query=JAP%20Centro%20Automotivo&query_place_id=ChIJe7dpP1I5uAAR5UAAzNz93K0,,,552733969131,,,,novo,f,t,neutro,"",,f,,,,0_base_fria,552733969131@s.whatsapp.net,
0b969b39-7f91-4a4a-8d79-594ade32e704,"2026-01-23 19:01:25.754945+00","2026-01-25 12:19:04.205907+00","VitoriaLog Transportes","Serviço de transporte","Av. Rio Marinho, 08 - Galpão 2 - Jardim Botânico, Cariacica - ES, 29142-610, Brasil","Jardim Botânico",Cariacica,https://www.google.com/maps/search/?api=1&query=VitoriaLog%20Transportes&query_place_id=ChIJKVQ3FD05uAARuNOQT31CDUg,,,5527999773069,,,,novo,f,t,neutro,"",,f,,,,0_base_fria,5527999773069@s.whatsapp.net,
1c1af551-49fe-42ff-8488-b3634a497c5e,"2026-01-23 19:01:25.754945+00","2026-01-25 12:19:04.205907+00","Brasil Cargo Transportes","Serviço de logística","R. Santa Clara, S/N - Vila Bethania, Viana - ES, 29136-138, Brasil","Vila Bethania",Viana,https://www.google.com/maps/search/?api=1&query=Brasil%20Cargo%20Transportes&query_place_id=ChIJbcbeyyA5uAARtShyEKSqDVg,,,552733540569,,,,novo,f,t,neutro,"",,f,,,,0_base_fria,552733540569@s.whatsapp.net,
9dd062af-fe45-4e15-a0d6-a40c8b96604e,"2026-01-23 19:01:25.754945+00","2026-01-25 12:19:04.205907+00","Virc Transportes","Serviço de logística","R. Galdino Ferraz, 453 - Vila Independência, Cariacica - ES, 29148-610, Brasil","Vila Independência",Cariacica,https://www.google.com/maps/search/?api=1&query=Virc%20Transportes&query_place_id=ChIJiZABTjk5uAAR9PHphaDyGv0,https://virc.com.br/,,552733963808,,,,novo,f,t,neutro,"",,f,,,,0_base_fria,552733963808@s.whatsapp.net,
050d1ca8-ce6f-4e55-b090-e56cbcd766e7,"2026-01-23 19:01:25.754945+00","2026-01-25 12:19:04.205907+00","Vitlog Transportes Vitória","Serviço de transporte","Av. Central, 103 - Nova Bethânia, Viana - ES, 29135-000, Brasil","Nova Bethânia",Viana,https://www.google.com/maps/search/?api=1&query=Vitlog%20Transportes%20Vit%C3%B3ria&query_place_id=ChIJx_LoS984uAARSeE2r9MbkOM,https://vitlog.com.br/,,552735540285,,,,novo,f,t,neutro,"",,f,,,,0_base_fria,552735540285@s.whatsapp.net,
34e8a52c-457a-4cae-aa56-d2e75209ae83,"2026-01-23 19:01:25.754945+00","2026-01-25 12:19:04.205907+00","Podium Fiat - Cariacica","Concessionária da Fiat","Av. Mário Gurgel, 1825 - Alto Lage, Cariacica - ES, 29140-261, Brasil","Alto Lage",Cariacica,https://www.google.com/maps/search/?api=1&query=Podium%20Fiat%20-%20Cariacica&query_place_id=ChIJ86sTpxg8uAARVIEjm1PPjHo,http://www.podiumveiculos.com.br/,,552733463000,,,,novo,f,t,neutro,"",,f,,,,0_base_fria,552733463000@s.whatsapp.net,
3a7a0c3a-e852-4fb0-9eda-085b9246bfa0,"2026-01-23 19:01:25.754945+00","2026-01-25 12:19:04.205907+00","Toko Veículos | Seminovos Cariacica",Concessionária,"R. Dos Apóstolos, 20 - Vila Palestina, Cariacica - ES, 29145-476, Brasil","Vila Palestina",Cariacica,https://www.google.com/maps/search/?api=1&query=Toko%20Ve%C3%ADculos%20%7C%20Seminovos%20Cariacica&query_place_id=ChIJs3tK0lE5uAARrQKU1WIU3e0,,,5527995822657,,,,novo,f,t,neutro,"",,f,,,,0_base_fria,5527995822657@s.whatsapp.net,
cb9a2092-9307-474b-a963-e6aaf824450c,"2026-01-23 19:01:25.754945+00","2026-01-25 12:19:04.205907+00","Possatti Veículos",Concessionária,"R. Castelo Branco, 205 - Bela Aurora, Cariacica - ES, 29141-620, Brasil","Bela Aurora",Cariacica,https://www.google.com/maps/search/?api=1&query=Possatti%20Ve%C3%ADculos&query_place_id=ChIJ1eTAvII9uAARf7VjixcZCfY,http://vix360.com.br/possattiveiculos/,,5527999358524,,,,novo,f,t,neutro,"",,f,,,,0_base_fria,5527999358524@s.whatsapp.net,
eb600816-4643-4eab-94b9-2d9a028e4518,"2026-01-23 19:01:25.754945+00","2026-01-25 12:19:04.205907+00","GS Veículos Revenda de Carros Usados e Seminovos em Cariacica","Revendedora de carros usados","BR-262, 1392 - Vila Capixaba, Cariacica - ES, 29148-022, Brasil","Vila Capixaba",Cariacica,https://www.google.com/maps/search/?api=1&query=GS%20Ve%C3%ADculos%20Revenda%20de%20Carros%20Usados%20e%20Seminovos%20em%20Cariacica&query_place_id=ChIJ2aClTXg5uAARvRwz2YopGFQ,https://www.gsveiculo.com.br/,,5527999286863,,,,novo,f,t,neutro,"",,f,,,,0_base_fria,5527999286863@s.whatsapp.net,
